Accident_ID,Vehicle_ID,Time,Date
13643,70172,17:42,4/1/2005
29128,5047,17:36,5/1/2005
26207,110028,0:15,6/1/2005
12612,24026,10:35,7/1/2005
14776,119299,21:13,10/1/2005
18609,111157,12:40,11/1/2005
11664,82113,20:40,13/01/2005
25828,96462,17:35,14/01/2005
16467,79485,22:43,15/01/2005
15677,65725,16:00,15/01/2005
25072,34991,0:42,16/01/2005
24383,51412,20:48,25/01/2005
26595,98628,12:55,11/1/2005
19901,83502,5:01,18/01/2005
26256,95789,11:15,18/01/2005
26195,100580,10:50,18/01/2005
17077,71142,0:15,20/01/2005
12171,127461,9:15,21/01/2005
24810,70354,21:16,21/01/2005
27733,66246,3:00,8/1/2005
11083,39076,21:45,24/01/2005
11513,22434,17:05,24/01/2005
17649,43510,21:30,24/01/2005
19268,114090,17:25,18/01/2005
25720,105420,7:34,29/01/2005
28395,102956,16:35,19/01/2005
28939,18510,20:00,30/01/2005
17855,14925,13:15,29/01/2005
23517,118319,18:20,1/2/2005
21505,75460,7:25,2/2/2005
28757,48492,17:30,1/2/2005
20671,27809,12:30,3/2/2005
20193,70594,9:55,12/2/2005
25944,30089,13:00,3/2/2005
17914,58779,13:02,1/2/2005
27581,79659,22:55,3/2/2005
23240,110293,17:30,3/2/2005
21150,48014,15:00,6/2/2005
24117,96517,21:25,5/2/2005
21794,64685,12:41,3/2/2005
29308,64138,23:35,4/2/2005
28980,60373,9:15,7/2/2005
21977,14849,13:25,12/2/2005
13563,28319,20:00,8/2/2005
27133,103012,8:20,16/02/2005
27162,124114,11:30,7/2/2005
24657,107794,18:10,10/2/2005
26101,81983,11:33,12/2/2005
28442,53164,20:05,13/02/2005
25116,82042,16:44,1/2/2005
26035,72127,18:00,17/02/2005
13543,113046,10:15,4/2/2005
22153,1050,18:15,15/02/2005
21539,54886,10:35,16/02/2005
25007,125918,17:36,18/02/2005
28471,7467,16:05,15/02/2005
25877,78972,13:56,10/2/2005
13844,126625,14:10,16/02/2005
19945,114501,10:10,21/02/2005
26365,114813,14:50,20/02/2005
25879,32167,14:43,22/02/2005
12557,68001,17:20,21/02/2005
28562,117052,12:40,20/02/2005
18207,8661,13:55,20/02/2005
20548,57165,22:25,26/02/2005
13335,78610,18:14,28/02/2005
24532,51058,16:30,24/02/2005
16248,92027,19:00,1/3/2005
27336,115534,17:13,23/02/2005
13676,9261,17:00,26/02/2005
12799,61033,9:15,24/02/2005
26414,75930,0:11,25/02/2005
13872,112142,19:00,23/02/2005
12038,24518,1:48,26/02/2005
15366,112524,7:58,23/02/2005
27755,101639,14:55,25/02/2005
23056,85018,8:22,25/02/2005
23549,106922,4:38,25/02/2005
15476,32564,13:20,4/3/2005
18303,92242,0:30,1/3/2005
14763,73302,19:30,28/02/2005
11394,42267,12:03,1/3/2005
16136,121358,23:03,14/02/2005
13421,65655,22:19,2/2/2005
15767,88062,14:30,3/3/2005
24247,91330,19:15,1/3/2005
17268,22031,18:31,1/3/2005
18612,27921,2:58,5/3/2005
23219,51947,10:40,1/3/2005
23504,40017,23:40,8/3/2005
23201,76392,21:07,3/3/2005
13324,118486,18:40,5/3/2005
14875,6012,16:55,5/3/2005
26359,30183,13:36,8/3/2005
25792,41652,1:05,6/3/2005
20974,15138,12:20,8/3/2005
20566,123589,8:56,8/3/2005
20160,114534,16:55,9/3/2005
19974,93076,15:35,9/3/2005
13874,96963,17:35,14/03/2005
15040,85494,9:15,17/03/2005
17282,72989,0:15,13/03/2005
20570,42357,13:02,15/03/2005
17434,23040,20:00,14/03/2005
11942,65420,15:31,15/03/2005
19059,65045,9:40,15/03/2005
12680,37373,9:13,9/3/2005
13908,44405,14:41,18/03/2005
18454,16653,8:17,9/3/2005
14496,71655,11:07,17/03/2005
15010,77591,20:55,17/03/2005
14939,4585,23:30,17/03/2005
28690,108347,20:45,13/03/2005
16151,23400,20:20,16/03/2005
11009,31010,13:53,24/03/2005
22513,57513,14:31,20/03/2005
14621,20979,9:22,21/03/2005
15036,95841,18:03,18/03/2005
22586,114684,13:45,20/03/2005
14287,111667,15:45,23/03/2005
12820,20101,8:17,24/02/2005
20439,63212,23:17,23/03/2005
20824,8256,19:20,24/03/2005
15258,56161,12:01,24/03/2005
27589,121196,23:39,31/03/2005
12633,23788,11:40,21/03/2005
15135,129579,12:30,18/03/2005
29385,127516,12:40,24/02/2005
26790,18012,9:20,24/03/2005
22770,45561,8:23,23/03/2005
23514,5228,18:36,23/03/2005
27126,18311,17:10,31/03/2005
19782,59891,15:30,14/03/2005
19655,60651,3:00,12/3/2005
13613,51013,9:45,9/4/2005
14564,91746,14:30,7/4/2005
11865,4233,11:09,2/4/2005
24591,14187,17:00,17/03/2005
12605,19669,15:12,31/03/2005
12115,31147,13:15,7/4/2005
12574,128842,21:25,31/03/2005
29126,27562,0:32,6/4/2005
26743,775,8:25,5/4/2005
21819,14070,9:04,8/4/2005
16557,106007,16:42,2/4/2005
