Location_ID,CityName,Country
13643,El Paso,USA
29128,El Paso,USA
26207,El Paso,USA
12612,El Paso,USA
14776,El Paso,USA
18609,El Paso,England
11664,El Paso,USA
25828,El Paso,Russia
16467,El Paso,Russia
15677,El Paso,USA
25072,El Paso,USA
24383,El Paso,England
26595,El Paso,USA
19901,El Paso,USA
26256,El Paso,USA
26195,El Paso,USA
17077,El Paso,USA
12171,El Paso,Russia
24810,El Paso,USA
27733,El Paso,USA
11083,El Paso,USA
11513,El Paso,USA
17649,El Paso,USA
19268,El Paso,Russia
25720,El Paso,USA
28395,El Paso,England
28939,El Paso,USA
17855,El Paso,USA
23517,El Paso,USA
21505,El Paso,USA
28757,El Paso,USA
20671,El Paso,USA
20193,El Paso,USA
25944,El Paso,USA
17914,El Paso,USA
27581,El Paso,USA
23240,El Paso,USA
21150,El Paso,NewZeland
24117,El Paso,Slovakia
21794,El Paso,USA
29308,El Paso,USA
28980,El Paso,USA
21977,El Paso,USA
13563,El Paso,USA
27133,El Paso,USA
27162,El Paso,USA
24657,El Paso,USA
26101,El Paso,USA
28442,El Paso,USA
25116,El Paso,USA
26035,El Paso,USA
13543,El Paso,USA
22153,El Paso,USA
21539,El Paso,USA
25007,El Paso,USA
28471,El Paso,USA
25877,El Paso,USA
13844,El Paso,USA
19945,El Paso,USA
26365,El Paso,USA
25879,El Paso,USA
12557,El Paso,USA
28562,El Paso,USA
18207,El Paso,USA
20548,El Paso,USA
13335,El Paso,USA
24532,El Paso,USA
16248,El Paso,USA
27336,El Paso,USA
13676,El Paso,USA
12799,El Paso,USA
26414,El Paso,Russia
13872,El Paso,Russia
12038,El Paso,USA
15366,El Paso,USA
27755,El Paso,USA
23056,El Paso,USA
23549,El Paso,USA
15476,El Paso,USA
18303,El Paso,USA
14763,El Paso,USA
11394,El Paso,USA
16136,El Paso,England
13421,El Paso,USA
15767,El Paso,Russia
24247,El Paso,USA
17268,El Paso,USA
18612,El Paso,England
23219,El Paso,USA
23504,El Paso,England
23201,El Paso,England
13324,El Paso,USA
14875,El Paso,USA
26359,El Paso,USA
25792,El Paso,USA
20974,El Paso,USA
20566,El Paso,Slovakia
20160,El Paso,USA
19974,El Paso,USA
13874,El Paso,USA
15040,El Paso,England
17282,El Paso,USA
20570,El Paso,USA
17434,El Paso,USA
11942,El Paso,USA
19059,El Paso,Russia
12680,El Paso,USA
13908,El Paso,USA
18454,El Paso,USA
14496,El Paso,Russia
15010,El Paso,USA
14939,El Paso,USA
28690,El Paso,USA
16151,El Paso,USA
11009,El Paso,USA
22513,El Paso,USA
14621,El Paso,USA
15036,El Paso,USA
22586,El Paso,USA
14287,El Paso,USA
12820,El Paso,USA
20439,El Paso,USA
20824,El Paso,USA
15258,El Paso,Russia
27589,El Paso,USA
12633,El Paso,USA
15135,El Paso,USA
29385,El Paso,USA
26790,El Paso,USA
22770,El Paso,USA
23514,El Paso,USA
27126,El Paso,USA
19782,El Paso,USA
19655,El Paso,USA
13613,El Paso,USA
14564,El Paso,USA
11865,El Paso,USA
24591,El Paso,USA
12605,El Paso,USA
12115,El Paso,USA
12574,El Paso,Australia
29126,El Paso,USA
26743,El Paso,England
21819,El Paso,England
16557,El Paso,USA
24425,El Paso,USA
21504,El Paso,USA
15296,El Paso,USA
13198,El Paso,England
26520,El Paso,USA
27950,El Paso,USA
26139,El Paso,USA
23065,El Paso,USA
26339,El Paso,USA
17045,El Paso,USA
19293,El Paso,USA
17322,El Paso,USA
19591,El Paso,USA
25600,El Paso,Russia
16016,El Paso,England
27103,El Paso,USA
16999,El Paso,USA
