Location_ID	Country	CityName
78432	USA	El Paso
9012	USA	El Paso
54316	USA	El Paso
20605	USA	El Paso
45367	USA	El Paso
50241	England	El Paso
34252	USA	El Paso
21521	Russia	El Paso
21521	Russia	El Paso
10254	USA	El Paso
78653	USA	El Paso
3421	England	El Paso
89072	USA	El Paso
54316	USA	El Paso
10254	USA	El Paso
12434	USA	El Paso
54316	USA	El Paso
21521	Russia	El Paso
10254	USA	El Paso
6549	USA	El Paso
89072	USA	El Paso
78432	USA	El Paso
8908	USA	El Paso
21521	Russia	El Paso
13456	USA	El Paso
2421	England	El Paso
89072	USA	El Paso
23450	USA	El Paso
8908	USA	El Paso
54745	USA	El Paso
8908	USA	El Paso
12434	USA	El Paso
5235	USA	El Paso
13456	USA	El Paso
3960	USA	El Paso
5235	USA	El Paso
89072	USA	El Paso
23786	NewZeland	El Paso
20641	Slovakia	El Paso
78653	USA	El Paso
54316	USA	El Paso
78432	USA	El Paso
20605	USA	El Paso
34252	USA	El Paso
45367	USA	El Paso
54745	USA	El Paso
34252	USA	El Paso
12434	USA	El Paso
54316	USA	El Paso
10254	USA	El Paso
6549	USA	El Paso
12434	USA	El Paso
12434	USA	El Paso
54745	USA	El Paso
9012	USA	El Paso
9012	USA	El Paso
54745	USA	El Paso
1707	USA	El Paso
54745	USA	El Paso
5235	USA	El Paso
8908	USA	El Paso
54316	USA	El Paso
78432	USA	El Paso
23450	USA	El Paso
13456	USA	El Paso
34252	USA	El Paso
8908	USA	El Paso
45743	USA	El Paso
12434	USA	El Paso
6549	USA	El Paso
34562	USA	El Paso
21521	Russia	El Paso
21521	Russia	El Paso
54316	USA	El Paso
45743	USA	El Paso
12434	USA	El Paso
20605	USA	El Paso
5235	USA	El Paso
20605	USA	El Paso
10254	USA	El Paso
20605	USA	El Paso
6549	USA	El Paso
3421	England	El Paso
5235	USA	El Paso
21521	Russia	El Paso
3242	USA	El Paso
9012	USA	El Paso
3421	England	El Paso
13456	USA	El Paso
50241	England	El Paso
3421	England	El Paso
34562	USA	El Paso
10254	USA	El Paso
25345	USA	El Paso
54316	USA	El Paso
54109	USA	El Paso
20641	Slovakia	El Paso
78653	USA	El Paso
8908	USA	El Paso
45743	USA	El Paso
3421	England	El Paso
20605	USA	El Paso
8267	USA	El Paso
34252	USA	El Paso
54316	USA	El Paso
21521	Russia	El Paso
54670	USA	El Paso
30541	USA	El Paso
45367	USA	El Paso
21521	Russia	El Paso
54316	USA	El Paso
89072	USA	El Paso
34252	USA	El Paso
54316	USA	El Paso
12434	USA	El Paso
78432	USA	El Paso
5235	USA	El Paso
6549	USA	El Paso
10254	USA	El Paso
5235	USA	El Paso
10254	USA	El Paso
54670	USA	El Paso
34562	USA	El Paso
21521	Russia	El Paso
78653	USA	El Paso
30541	USA	El Paso
8908	USA	El Paso
54745	USA	El Paso
8267	USA	El Paso
78653	USA	El Paso
12434	USA	El Paso
34562	USA	El Paso
45743	USA	El Paso
1707	USA	El Paso
3242	USA	El Paso
9012	USA	El Paso
6549	USA	El Paso
5235	USA	El Paso
54745	USA	El Paso
9012	USA	El Paso
90867	Australia	El Paso
8267	USA	El Paso
3421	England	El Paso
3421	England	El Paso
12434	USA	El Paso
78653	USA	El Paso
12434	USA	El Paso
78653	USA	El Paso
3421	England	El Paso
34252	USA	El Paso
3242	USA	El Paso
1707	USA	El Paso
12434	USA	El Paso
34252	USA	El Paso
54316	USA	El Paso
54316	USA	El Paso
34562	USA	El Paso
54316	USA	El Paso
21521	Russia	El Paso
3421	England	El Paso
10254	USA	El Paso
10254	USA	El Paso
30541	USA	El Paso
10254	USA	El Paso
9012	USA	El Paso
89072	USA	El Paso
54670	USA	El Paso
3421	England	El Paso
20605	USA	El Paso
12434	USA	El Paso
9012	USA	El Paso
30541	USA	El Paso
54316	USA	El Paso
10254	USA	El Paso
6549	USA	El Paso
10254	USA	El Paso
12434	USA	El Paso
54316	USA	El Paso
