Vehicle_ID,Vehicle_Name,Vehicle_Type,Color
70172,FORD,02 - Automobile,BLACK
5047,TOYOTA,02 - Automobile,GREEN
110028,HONDA,02 - Automobile,SILVER
24026,DODG,02 - Automobile,WHITE
119299,MINI COOPER,02 - Automobile,WHITE
111157,HYUNDAI,02 - Automobile,GRAY
82113,FORD,02 - Automobile,BLACK
96462,DODGE,02 - Automobile,WHITE
79485,MINI COOPER,02 - Automobile,WHITE
65725,MINI COOPER,02 - Automobile,WHITE
34991,CADI,02 - Automobile,BLACK
51412,HONDA,02 - Automobile,SILVER
98628,CHEVROLET,02 - Automobile,SILVER
83502,AUDI,02 - Automobile,GRAY
95789,TOYT,02 - Automobile,RED
100580,DODGE,02 - Automobile,BLACK
71142,SATURN,02 - Automobile,SILVER
127461,HONDA,02 - Automobile,GOLD
70354,MINI COOPER,02 - Automobile,WHITE
66246,TOYOTA,02 - Automobile,BLACK
39076,MINI COOPER,02 - Automobile,WHITE
22434,FORD,28 - Other,WHITE
43510,MINI COOPER,02 - Automobile,WHITE
114090,LEXUS,02 - Automobile,BLACK
105420,FORD,05 - Light Duty Truck,RED
102956,ACUR,02 - Automobile,GOLD
18510,GILL,10 - Transit Bus,BLUE
14925,CADI,02 - Automobile,BLACK
118319,NONE,29 - Unknown,N/A
75460,FORD,05 - Light Duty Truck,RED
48492,HONDA,02 - Automobile,GRAY
27809,HONDA,02 - Automobile,GRAY
70594,NONE,29 - Unknown,N/A
30089,AUDI,02 - Automobile,BLACK
58779,MERCEDEZ,02 - Automobile,BLACK
79659,BUICK,02 - Automobile,WHITE
110293,MERCEDEZ,02 - Automobile,BLACK
48014,MERCEDEZ,02 - Automobile,BLACK
96517,CHEV,02 - Automobile,WHITE
64685,KAWASAKI,01 - Motorcycle,GREEN
64138,ACURA,02 - Automobile,BLACK
60373,HONDA,02 - Automobile,RED
14849,JEEP,08 - Recreational Vehicle,GRAY
28319,FORD,02 - Automobile,"BLUE, DARK"
103012,TOYT,02 - Automobile,GREEN
124114,MITSUBISHI,02 - Automobile,WHITE
107794,MERCEDEZ,02 - Automobile,BLACK
81983,FORD,02 - Automobile,BLACK
53164,FORD,02 - Automobile,BLUE
82042,HONDA,02 - Automobile,BLACK
72127,SUNNY,19 - Moped,RED
113046,FORD,02 - Automobile,TAN
1050,FORD,02 - Automobile,TAN
54886,LINCOLN,05 - Light Duty Truck,CREAM
125918,HOND,02 - Automobile,WHITE
7467,TOYOTA,02 - Automobile,BLUE
78972,FORD,02 - Automobile,RED
126625,CHRY,02 - Automobile,SILVER
114501,INFI,02 - Automobile,SILVER
114813,SUBARU,02 - Automobile,WHITE
32167,TOYOTA,02 - Automobile,WHITE
68001,FORD,02 - Automobile,TAN
117052,FORD,02 - Automobile,TAN
8661,FORD,02 - Automobile,TAN
57165,GMC,02 - Automobile,BLACK
78610,HONDA,02 - Automobile,GREEN
51058,TOYOTA,02 - Automobile,PURPLE
92027,LEXUS,02 - Automobile,BLACK
115534,MAZDA,02 - Automobile,SILVER
9261,BMW,02 - Automobile,TAN
61033,HYUNDA,28 - Other,RED
75930,HOND,02 - Automobile,BEIGE
112142,NISS,02 - Automobile,TAN
24518,WV,02 - Automobile,GRAY
112524,HONDA,02 - Automobile,BLACK
101639,FORD,08 - Recreational Vehicle,BLACK
85018,CHEVROLET,02 - Automobile,GOLD
106922,HONDA,02 - Automobile,SILVER
32564,NISS,02 - Automobile,BLACK
92242,NISS,02 - Automobile,BLACK
73302,NISS,02 - Automobile,BLACK
42267,DODGE,02 - Automobile,BLACK
121358,HOND,02 - Automobile,SILVER
65655,PONT,02 - Automobile,BLACK
88062,AUDI,02 - Automobile,BLACK
91330,TOYOT,02 - Automobile,BLACK
22031,CHRYSLER,02 - Automobile,WHITE
27921,HONDA,02 - Automobile,GRAY
51947,FORD,02 - Automobile,GREEN
40017,TOYOTA,02 - Automobile,TAN
76392,OLDS,02 - Automobile,WHITE
118486,FORD,05 - Light Duty Truck,WHITE
6012,NISS,02 - Automobile,BLACK
30183,SUBARU,02 - Automobile,SILVER
41652,LEXUS,02 - Automobile,WHITE
15138,TOYT,02 - Automobile,RED
123589,SUBARU,02 - Automobile,SILVER
114534,NISSAN,02 - Automobile,BLACK
93076,TOYT,02 - Automobile,WHITE
96963,TOYT,02 - Automobile,WHITE
85494,CHEVROLET,02 - Automobile,BLACK
72989,HONDA,02 - Automobile,SILVER
42357,DODGE,05 - Light Duty Truck,"BLUE, LIGHT"
23040,LNDR,02 - Automobile,GREEN
65420,NISS,02 - Automobile,BLACK
65045,FORD,02 - Automobile,BLACK
37373,TOYOTA,02 - Automobile,GRAY
44405,CHEVY,02 - Automobile,BLACK
16653,TOYT,02 - Automobile,WHITE
71655,TOYT,02 - Automobile,WHITE
77591,JEEP,02 - Automobile,WHITE
4585,TOYT,02 - Automobile,WHITE
108347,DODGE,02 - Automobile,SILVER
23400,SATURN,02 - Automobile,RED
31010,TOYT,02 - Automobile,WHITE
57513,TOYOTA,02 - Automobile,GREEN
20979,LINC,02 - Automobile,BLACK
95841,TOYT,02 - Automobile,WHITE
114684,BUICK,02 - Automobile,SILVER
111667,CHEVY,02 - Automobile,GRAY
20101,SUBRARU,02 - Automobile,BLUE
63212,CHEVY,02 - Automobile,SILVER
8256,TOYOTA,02 - Automobile,WHITE
56161,CHEV,05 - Light Duty Truck,GREEN
121196,LANDROVER,05 - Light Duty Truck,WHITE
23788,DODGE,02 - Automobile,GOLD
129579,TOY,02 - Automobile,BLUE
127516,INFINITI,02 - Automobile,BEIGE
18012,TOYT,02 - Automobile,WHITE
45561,CHRYSLER,02 - Automobile,"BLUE, LIGHT"
5228,FORD,02 - Automobile,RED
18311,FORD,05 - Light Duty Truck,BLUE
59891,JEEP,02 - Automobile,BLACK
60651,MERCURY,02 - Automobile,SILVER
51013,NISSAN,02 - Automobile,BLUE
91746,TOYOTA,01 - Motorcycle,TAN
4233,ACURA,02 - Automobile,RED
14187,JEEP,02 - Automobile,GREEN
19669,HYUNDAI,02 - Automobile,RED
31147,FORD,02 - Automobile,BLACK
128842,CHEVY,05 - Light Duty Truck,TAN
27562,TOYOTA,02 - Automobile,WHITE
775,TOYOTA,01 - Motorcycle,GOLD
14070,MAZDA,02 - Automobile,BLACK
106007,CHEV,02 - Automobile,BLACK
116004,CHEV,02 - Automobile,BLACK
68886,XX,28 - Other,N/A
72413,HOND,02 - Automobile,SILVER
73604,FORD,02 - Automobile,BLUE
48415,CHEVY,02 - Automobile,TAN
105708,BMW,02 - Automobile,BLACK
65579,NISS,02 - Automobile,BLACK
73058,HONDA,02 - Automobile,GREEN
65585,CHEV,02 - Automobile,BLACK
8346,DODG,02 - Automobile,SILVER
79678,CHEV,02 - Automobile,PURPLE
112483,BUICK,02 - Automobile,BLUE
31698,DODG,02 - Automobile,SILVER
74030,DODG,02 - Automobile,SILVER
124931,SAAB,02 - Automobile,BLUE
73924,HONDA,02 - Automobile,BLUE
76073,CADI,02 - Automobile,GOLD
104623,LEXUS,02 - Automobile,GRAY
58523,ACURA,02 - Automobile,RED
121929,TOYOTA,02 - Automobile,GREEN
30704,FORD,05 - Light Duty Truck,RED
58896,TOYT,02 - Automobile,SILVER
26920,CHEV,02 - Automobile,WHITE
13884,NISSAN,02 - Automobile,"BLUE, LIGHT"
87681,TOYOTA,02 - Automobile,SILVER
81719,TOYOTA,02 - Automobile,SILVER
85554,TOYOTA,02 - Automobile,SILVER
12645,DODG,02 - Automobile,SILVER
101275,TOYOTA,02 - Automobile,SILVER
95982,NISS,05 - Light Duty Truck,WHITE
74610,TOYOTA,02 - Automobile,TAN
76449,HONDA,02 - Automobile,BLUE
14030,JEEP,02 - Automobile,BLACK
69692,TOYOTA,02 - Automobile,BLACK
47648,LEXUS,02 - Automobile,TAN
52168,FORD,02 - Automobile,RED
60251,CRUZ,02 - Automobile,SILVER
35881,HONDA,02 - Automobile,GRAY
28852,HOND,02 - Automobile,BLACK
55341,TOYOTA,02 - Automobile,SILVER
84553,FORD,02 - Automobile,WHITE
100249,NISSAN,02 - Automobile,RED
2463,HOND,05 - Light Duty Truck,BLACK
22924,HONDA,02 - Automobile,GRAY
25542,FORD,02 - Automobile,WHITE
115972,SUBARU,02 - Automobile,RED
2980,BMW,02 - Automobile,SILVER
125097,ACURA,02 - Automobile,SILVER
46701,HYANDAI,02 - Automobile,BLACK
108006,HONDA,02 - Automobile,BEIGE
19578,FORD,02 - Automobile,BLUE
59508,CHRY,02 - Automobile,MAROON
56446,HYUN,02 - Automobile,SILVER
48800,KIA,02 - Automobile,BLACK
129592,TOYOTA,02 - Automobile,GRAY
114039,TOYOYTA,02 - Automobile,RED
66800,TOYOTA,02 - Automobile,WHITE
106799,TOYOTA,02 - Automobile,GRAY
47057,NISSAN,02 - Automobile,BLACK
61824,TOYOTA,02 - Automobile,TAN
68207,CHEV,02 - Automobile,SILVER
125512,LEXUS,02 - Automobile,TAN
93019,HONDA,02 - Automobile,BLACK
87296,TOYOTA,02 - Automobile,BLACK
76748,HONDA,02 - Automobile,SILVER
85879,NISSAN,02 - Automobile,BLACK
63961,HONDA,02 - Automobile,GRAY
94760,TOYOTA,02 - Automobile,WHITE
49608,BMW,02 - Automobile,BLACK
80520,FORD,02 - Automobile,BLUE
23328,CHEVY,02 - Automobile,WHITE
13560,HOND,02 - Automobile,GOLD
119121,DODGE,01 - Motorcycle,RED
42917,HONDA,02 - Automobile,GREEN
52954,CHRYSLER,02 - Automobile,WHITE
83112,HYUN,02 - Automobile,BLACK
88574,CHRYSLER,02 - Automobile,GREEN
111570,FORD,06 - Heavy Duty Truck,WHITE
28662,HUMMER,02 - Automobile,GRAY
27177,GMC,28 - Other,BLACK
129585,HONDA,02 - Automobile,BLACK
35759,CHEV,02 - Automobile,TAN
49475,BUICK,02 - Automobile,WHITE
78904,MERCEDES,02 - Automobile,BLUE
29619,CHEVY,02 - Automobile,WHITE
77512,MITSUBUSHI,02 - Automobile,BLACK
31631,MERC,02 - Automobile,GRAY
38913,JEEP,02 - Automobile,GRAY
35366,KIA,01 - Motorcycle,SILVER
111817,LEXUS,02 - Automobile,GOLD
12259,INFINITI,02 - Automobile,BEIGE
19790,NISS,02 - Automobile,"BLUE, DARK"
33260,HONDA,02 - Automobile,"BLUE, DARK"
107079,HONDA,02 - Automobile,BLUE
15174,HYUNDAI,02 - Automobile,SILVER
23620,MERZ,02 - Automobile,TAN
18128,NISS,02 - Automobile,"BLUE, DARK"
105291,HONDA,02 - Automobile,"BLUE, DARK"
56451,LINC,02 - Automobile,CREAM
102068,MAZDA,02 - Automobile,GRAY
57995,TOYT,02 - Automobile,BLACK
146,TOYOTA,02 - Automobile,BLACK
18770,HONDA,02 - Automobile,BLUE
42774,TOYOTA,02 - Automobile,WHITE
13776,JEEP,02 - Automobile,GREEN
103702,TOYT,02 - Automobile,"BLUE, DARK"
69826,FORD,05 - Light Duty Truck,GRAY
57906,FORD,02 - Automobile,BLACK
31358,HYUNDAI,02 - Automobile,BLUE
92805,TOYOTA,02 - Automobile,GRAY
104375,HONDA,02 - Automobile,"GREEN, DK"
