Reason_ID,accm_txn_complete_time
70172,5/14/2022
5047,5/15/2022
110028,5/16/2022
24026,5/17/2022
119299,5/18/2022
111157,5/19/2022
82113,5/20/2022
96462,5/21/2022
79485,5/22/2022
65725,5/23/2022
34991,5/24/2022
51412,5/25/2022
98628,5/26/2022
83502,5/27/2022
95789,5/28/2022
100580,5/29/2022
71142,5/30/2022
127461,5/31/2022
70354,6/1/2022
66246,6/2/2022
39076,6/3/2022
22434,6/4/2022
43510,6/5/2022
114090,6/6/2022
105420,6/7/2022
102956,6/8/2022
18510,6/9/2022
14925,6/10/2022
118319,6/11/2022
75460,6/12/2022
48492,6/13/2022
27809,6/14/2022
70594,6/15/2022
30089,6/16/2022
58779,6/17/2022
79659,6/18/2022
110293,6/19/2022
48014,6/20/2022
96517,6/21/2022
64685,6/22/2022
64138,6/23/2022
60373,6/24/2022
14849,6/25/2022
28319,6/26/2022
103012,6/27/2022
124114,6/28/2022
107794,6/29/2022
81983,6/30/2022
53164,7/1/2022
82042,7/2/2022
72127,7/3/2022
113046,7/4/2022
1050,7/5/2022
54886,7/6/2022
125918,7/7/2022
7467,7/8/2022
78972,7/9/2022
126625,7/10/2022
114501,7/11/2022
114813,7/12/2022
32167,7/13/2022
68001,7/14/2022
117052,7/15/2022
8661,7/16/2022
57165,7/17/2022
78610,7/18/2022
51058,7/19/2022
92027,7/20/2022
115534,7/21/2022
9261,7/22/2022
61033,7/23/2022
75930,7/24/2022
112142,7/25/2022
24518,7/26/2022
112524,7/27/2022
101639,7/28/2022
85018,7/29/2022
106922,7/30/2022
32564,7/31/2022
92242,8/1/2022
73302,8/2/2022
42267,8/3/2022
121358,8/4/2022
65655,8/5/2022
88062,8/6/2022
91330,8/7/2022
22031,8/8/2022
27921,8/9/2022
51947,8/10/2022
40017,8/11/2022
76392,8/12/2022
118486,5/14/2022
6012,5/15/2022
30183,5/16/2022
41652,5/17/2022
15138,5/18/2022
123589,5/19/2022
114534,5/20/2022
93076,5/21/2022
96963,5/22/2022
85494,5/23/2022
72989,5/24/2022
42357,5/25/2022
23040,5/26/2022
65420,5/27/2022
65045,5/28/2022
37373,5/29/2022
44405,5/30/2022
16653,5/31/2022
71655,6/1/2022
77591,6/2/2022
4585,6/3/2022
108347,6/4/2022
23400,6/5/2022
31010,6/6/2022
57513,6/7/2022
20979,6/8/2022
95841,6/9/2022
114684,6/10/2022
111667,6/11/2022
20101,6/12/2022
63212,6/13/2022
8256,6/14/2022
56161,6/15/2022
121196,6/16/2022
23788,6/17/2022
129579,6/18/2022
127516,6/19/2022
18012,6/20/2022
45561,6/21/2022
5228,6/22/2022
18311,6/23/2022
59891,6/24/2022
60651,6/25/2022
51013,6/26/2022
91746,6/27/2022
4233,6/28/2022
14187,6/29/2022
19669,6/30/2022
31147,7/1/2022
128842,7/2/2022
27562,7/3/2022
775,7/4/2022
14070,7/5/2022
106007,7/6/2022
116004,7/7/2022
68886,7/8/2022
72413,7/9/2022
73604,7/10/2022
48415,7/11/2022
105708,7/12/2022
65579,7/13/2022
73058,7/14/2022
65585,7/15/2022
8346,7/16/2022
79678,7/17/2022
112483,7/18/2022
31698,7/19/2022
74030,7/20/2022
124931,7/21/2022
73924,7/22/2022
76073,7/23/2022
104623,7/24/2022
58523,7/25/2022
121929,7/26/2022
30704,7/27/2022
58896,7/28/2022
26920,7/29/2022
13884,7/30/2022
87681,7/31/2022
81719,8/1/2022
85554,8/2/2022
12645,8/3/2022
101275,8/4/2022
95982,8/5/2022
74610,8/6/2022
76449,8/7/2022
14030,8/8/2022
69692,8/9/2022
47648,8/10/2022
52168,8/11/2022
60251,8/12/2022
35881,5/14/2022
28852,5/15/2022
55341,5/16/2022
84553,5/17/2022
100249,5/18/2022
2463,5/19/2022
22924,5/20/2022
25542,5/21/2022
115972,5/22/2022
2980,5/23/2022
125097,5/24/2022
46701,5/25/2022
108006,5/26/2022
19578,5/27/2022
59508,5/28/2022
56446,5/29/2022
48800,5/30/2022
129592,5/31/2022
114039,6/1/2022
66800,6/2/2022
106799,6/3/2022
47057,6/4/2022
61824,6/5/2022
68207,6/6/2022
125512,6/7/2022
93019,6/8/2022
87296,6/9/2022
76748,6/10/2022
85879,6/11/2022
63961,6/12/2022
94760,6/13/2022
49608,6/14/2022
80520,6/15/2022
23328,6/16/2022
13560,6/17/2022
119121,6/18/2022
42917,6/19/2022
52954,6/20/2022
83112,6/21/2022
88574,6/22/2022
111570,6/23/2022
28662,6/24/2022
27177,6/25/2022
129585,6/26/2022
35759,6/27/2022
49475,6/28/2022
78904,6/29/2022
29619,6/30/2022
77512,7/1/2022
31631,7/2/2022
38913,7/3/2022
35366,7/4/2022
111817,7/5/2022
12259,7/6/2022
19790,7/7/2022
33260,7/8/2022
107079,7/9/2022
15174,7/10/2022
23620,7/11/2022
18128,7/12/2022
105291,7/13/2022
56451,7/14/2022
102068,7/15/2022
57995,7/16/2022
146,7/17/2022
18770,7/18/2022
42774,7/19/2022
13776,7/20/2022
103702,7/21/2022
69826,7/22/2022
57906,7/23/2022
31358,7/24/2022
92805,7/25/2022
104375,7/26/2022
109896,7/27/2022
102955,7/28/2022
44736,7/29/2022
28135,7/30/2022
55871,7/31/2022
8818,8/1/2022
86148,8/2/2022
120162,8/3/2022
117547,8/4/2022
112385,8/5/2022
19908,8/6/2022
45098,8/7/2022
43810,8/8/2022
22981,8/9/2022
68134,8/10/2022
23518,8/11/2022
109188,8/12/2022
1150,5/14/2022
44586,5/15/2022
84299,5/16/2022
103793,5/17/2022
35032,5/18/2022
103291,5/19/2022
93909,5/20/2022
127925,5/21/2022
128097,5/22/2022
26149,5/23/2022
95886,5/24/2022
125425,5/25/2022
120078,5/26/2022
60625,5/27/2022
115031,5/28/2022
37077,5/29/2022
69252,5/30/2022
12194,5/31/2022
80188,6/1/2022
10430,6/2/2022
21262,6/3/2022
55236,6/4/2022
126917,6/5/2022
112190,6/6/2022
16342,6/7/2022
2201,6/8/2022
53687,6/9/2022
47168,6/10/2022
8782,6/11/2022
75468,6/12/2022
663,6/13/2022
74740,6/14/2022
117904,6/15/2022
59599,6/16/2022
29479,6/17/2022
105096,6/18/2022
94421,6/19/2022
49058,6/20/2022
47795,6/21/2022
125451,6/22/2022
96114,6/23/2022
23241,6/24/2022
106258,6/25/2022
64874,6/26/2022
100136,6/27/2022
51774,6/28/2022
124301,6/29/2022
36127,6/30/2022
121855,7/1/2022
52648,7/2/2022
38803,7/3/2022
39916,7/4/2022
95301,7/5/2022
16505,7/6/2022
63771,7/7/2022
51960,7/8/2022
111305,7/9/2022
114340,7/10/2022
17379,7/11/2022
65992,7/12/2022
104578,7/13/2022
7443,7/14/2022
67768,7/15/2022
89581,7/16/2022
47417,7/17/2022
30231,7/18/2022
14343,7/19/2022
79924,7/20/2022
105654,7/21/2022
29495,7/22/2022
98183,7/23/2022
87554,7/24/2022
83683,7/25/2022
74603,7/26/2022
83191,7/27/2022
110103,7/28/2022
57026,7/29/2022
91205,7/30/2022
55470,7/31/2022
53922,8/1/2022
129138,8/2/2022
2034,8/3/2022
37286,8/4/2022
32818,8/5/2022
46695,8/6/2022
121598,8/7/2022
44039,8/8/2022
102733,8/9/2022
85600,8/10/2022
10833,8/11/2022
81553,8/12/2022
24745,5/14/2022
58871,5/15/2022
68900,5/16/2022
31952,5/17/2022
98758,5/18/2022
59963,5/19/2022
38236,5/20/2022
43811,5/21/2022
58215,5/22/2022
88293,5/23/2022
37225,5/24/2022
43935,5/25/2022
48899,5/26/2022
99082,5/27/2022
75859,5/28/2022
85109,5/29/2022
118135,5/30/2022
89169,5/31/2022
4988,6/1/2022
81441,6/2/2022
