Reason_ID,Vehicle_ID,Weather_Conditions,Light_Conditions,Road_Surface_Conditions,Speed_limit,Accident_Date,Pedestrian_Crossing-Human_Control,Accident_Severity
70172,1,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/16/2020,None within 50 metres,2
5047,2,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/17/2020,None within 50 metres,3
110028,3,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/17/2020,None within 50 metres,3
24026,4,Fine without high winds,Daylight: Street light present,Dry,30,3/17/2020,None within 50 metres,3
119299,5,Fine without high winds,Darkness: Street lighting unknown,Wet/Damp,30,3/17/2020,None within 50 metres,3
111157,6,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/17/2020,None within 50 metres,3
82113,7,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/18/2020,None within 50 metres,3
96462,8,Fine without high winds,Daylight: Street light present,Dry,30,3/18/2020,None within 50 metres,3
79485,9,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/18/2020,None within 50 metres,3
65725,10,Fine without high winds,Daylight: Street light present,Dry,30,3/18/2020,None within 50 metres,3
34991,11,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/18/2020,None within 50 metres,3
51412,12,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/18/2020,None within 50 metres,3
98628,13,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/18/2020,None within 50 metres,3
83502,14,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/18/2020,None within 50 metres,3
95789,15,Fine without high winds,Daylight: Street light present,Dry,30,3/18/2020,None within 50 metres,3
100580,16,Fine without high winds,Daylight: Street light present,Dry,30,3/19/2020,None within 50 metres,3
71142,17,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/19/2020,None within 50 metres,2
127461,18,Fine without high winds,Daylight: Street light present,Dry,30,3/19/2020,None within 50 metres,3
70354,19,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/20/2020,None within 50 metres,3
66246,20,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/20/2020,None within 50 metres,2
39076,21,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/20/2020,None within 50 metres,3
22434,22,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/20/2020,None within 50 metres,3
43510,23,Fine without high winds,Darkness: Street lights present and lit,Frost/Ice,30,3/20/2020,None within 50 metres,3
114090,24,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/21/2020,None within 50 metres,3
105420,25,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/21/2020,None within 50 metres,3
102956,26,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/21/2020,None within 50 metres,3
18510,27,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/21/2020,None within 50 metres,3
14925,28,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/21/2020,None within 50 metres,3
118319,29,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/22/2020,None within 50 metres,3
75460,30,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/22/2020,None within 50 metres,3
48492,31,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/22/2020,None within 50 metres,2
27809,32,Unknown,Daylight: Street light present,Dry,30,3/22/2020,None within 50 metres,3
70594,33,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/22/2020,None within 50 metres,3
30089,34,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/22/2020,None within 50 metres,3
58779,35,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
79659,36,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/23/2020,None within 50 metres,3
110293,37,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/23/2020,None within 50 metres,3
48014,38,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
96517,39,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/23/2020,None within 50 metres,3
64685,40,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
64138,41,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/23/2020,None within 50 metres,3
60373,42,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
14849,43,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
28319,44,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/23/2020,None within 50 metres,3
103012,45,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
124114,46,Fine without high winds,Daylight: Street light present,Dry,30,3/23/2020,None within 50 metres,3
107794,47,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/24/2020,None within 50 metres,3
81983,48,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/24/2020,None within 50 metres,3
53164,49,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/24/2020,None within 50 metres,3
82042,50,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/24/2020,None within 50 metres,3
72127,51,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/25/2020,None within 50 metres,3
113046,52,Fine without high winds,Daylight: Street light present,Dry,30,3/25/2020,None within 50 metres,3
1050,53,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/25/2020,None within 50 metres,2
54886,54,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
125918,55,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/26/2020,None within 50 metres,3
7467,56,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
78972,57,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/26/2020,None within 50 metres,3
126625,58,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
114501,59,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
114813,60,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/26/2020,None within 50 metres,3
32167,61,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/26/2020,None within 50 metres,3
68001,62,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/26/2020,None within 50 metres,3
117052,63,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
8661,64,Fine without high winds,Daylight: Street light present,Dry,30,3/26/2020,None within 50 metres,3
57165,65,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/26/2020,None within 50 metres,3
78610,66,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/26/2020,None within 50 metres,3
51058,67,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/27/2020,None within 50 metres,3
92027,68,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/27/2020,None within 50 metres,3
115534,69,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/27/2020,None within 50 metres,3
9261,70,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/27/2020,None within 50 metres,3
61033,71,Snowing without high winds,Daylight: Street light present,Wet/Damp,30,3/27/2020,None within 50 metres,3
75930,72,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/27/2020,None within 50 metres,3
112142,73,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/27/2020,None within 50 metres,3
24518,74,Other,Darkness: Street lights present and lit,Wet/Damp,30,3/28/2020,None within 50 metres,3
112524,75,Snowing without high winds,Daylight: Street light present,Snow,30,3/28/2020,None within 50 metres,3
101639,76,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/28/2020,None within 50 metres,3
85018,77,Snowing without high winds,Daylight: Street light present,Wet/Damp,30,3/28/2020,None within 50 metres,3
106922,78,Snowing without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/28/2020,None within 50 metres,3
32564,79,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/28/2020,None within 50 metres,3
92242,80,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/28/2020,None within 50 metres,3
73302,81,Snowing without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/28/2020,None within 50 metres,3
42267,82,Raining without high winds,Daylight: Street light present,Wet/Damp,30,3/28/2020,None within 50 metres,3
121358,83,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/29/2020,None within 50 metres,3
65655,84,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/29/2020,None within 50 metres,3
88062,85,Fine without high winds,Daylight: Street light present,Dry,30,3/29/2020,None within 50 metres,3
91330,86,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/29/2020,None within 50 metres,2
22031,87,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/29/2020,None within 50 metres,3
27921,88,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/29/2020,None within 50 metres,3
51947,89,Fine without high winds,Daylight: Street light present,Dry,30,3/29/2020,None within 50 metres,3
40017,90,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/30/2020,None within 50 metres,3
76392,91,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/30/2020,None within 50 metres,3
118486,92,Raining without high winds,Darkness: Street lights present and lit,Wet/Damp,30,3/30/2020,None within 50 metres,2
6012,93,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/30/2020,None within 50 metres,3
30183,94,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
41652,95,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/31/2020,None within 50 metres,3
15138,96,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
123589,97,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
114534,98,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
93076,99,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
96963,100,Fine without high winds,Daylight: Street light present,Wet/Damp,30,3/31/2020,None within 50 metres,3
85494,101,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
72989,102,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/31/2020,None within 50 metres,3
42357,103,Fine without high winds,Daylight: Street light present,Dry,30,3/31/2020,None within 50 metres,3
23040,104,Fine without high winds,Darkness: Street lights present and lit,Dry,30,3/31/2020,None within 50 metres,3
65420,105,Fine without high winds,Daylight: Street light present,Dry,30,4/1/2020,None within 50 metres,3
65045,106,Fine without high winds,Daylight: Street light present,Dry,30,4/1/2020,None within 50 metres,2
37373,107,Fine without high winds,Daylight: Street light present,Dry,30,4/1/2020,None within 50 metres,2
44405,108,Fine without high winds,Daylight: Street light present,Dry,30,4/1/2020,None within 50 metres,3
16653,109,Fine without high winds,Daylight: Street light present,Dry,30,4/1/2020,None within 50 metres,3
71655,110,Fine without high winds,Daylight: Street light present,Dry,30,4/2/2020,None within 50 metres,3
77591,111,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/2/2020,None within 50 metres,3
4585,112,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/2/2020,None within 50 metres,3
108347,113,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/2/2020,None within 50 metres,3
23400,114,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/3/2020,None within 50 metres,2
31010,115,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
57513,116,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
20979,117,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
95841,118,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/3/2020,None within 50 metres,3
114684,119,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
111667,120,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
20101,121,Fine without high winds,Daylight: Street light present,Dry,30,4/3/2020,None within 50 metres,3
63212,122,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/3/2020,None within 50 metres,3
8256,123,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/3/2020,None within 50 metres,3
56161,124,Fine without high winds,Daylight: Street light present,Dry,30,4/4/2020,None within 50 metres,3
121196,125,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/4/2020,None within 50 metres,3
23788,126,Fine without high winds,Daylight: Street light present,Dry,30,4/4/2020,None within 50 metres,3
129579,127,Fine without high winds,Daylight: Street light present,Dry,30,4/4/2020,None within 50 metres,3
127516,128,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/5/2020,None within 50 metres,3
18012,129,Fine without high winds,Daylight: Street light present,Dry,30,4/5/2020,None within 50 metres,3
45561,130,Fine without high winds,Daylight: Street light present,Dry,30,4/5/2020,None within 50 metres,3
5228,131,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/5/2020,None within 50 metres,3
18311,132,Fine without high winds,Daylight: Street light present,Dry,30,4/5/2020,None within 50 metres,3
59891,133,Fine without high winds,Daylight: Street light present,Dry,30,4/5/2020,None within 50 metres,3
60651,134,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/5/2020,None within 50 metres,3
51013,135,Fine without high winds,Daylight: Street light present,Dry,30,4/5/2020,None within 50 metres,3
91746,136,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/6/2020,None within 50 metres,3
4233,137,Fine without high winds,Daylight: Street light present,Dry,30,4/6/2020,None within 50 metres,3
14187,138,Fine without high winds,Daylight: Street light present,Dry,30,4/6/2020,None within 50 metres,2
19669,139,Fine without high winds,Daylight: Street light present,Dry,30,4/6/2020,None within 50 metres,3
31147,140,Fine without high winds,Daylight: Street light present,Dry,30,4/7/2020,None within 50 metres,3
128842,141,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,4/7/2020,None within 50 metres,3
27562,142,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/7/2020,None within 50 metres,3
775,143,Fine without high winds,Daylight: Street light present,Dry,30,4/7/2020,None within 50 metres,3
14070,144,Fine without high winds,Daylight: Street light present,Dry,30,4/7/2020,None within 50 metres,3
106007,145,Fine without high winds,Daylight: Street light present,Dry,30,4/7/2020,None within 50 metres,3
116004,146,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/7/2020,None within 50 metres,3
68886,147,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/7/2020,None within 50 metres,2
72413,148,Fine without high winds,Daylight: Street light present,Dry,30,4/7/2020,None within 50 metres,3
73604,149,Fine without high winds,Daylight: Street light present,Dry,30,4/8/2020,None within 50 metres,2
48415,150,Fine without high winds,Daylight: Street light present,Dry,30,4/8/2020,None within 50 metres,3
105708,151,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/8/2020,None within 50 metres,3
65579,152,Fine without high winds,Daylight: Street light present,Dry,30,4/8/2020,None within 50 metres,3
73058,153,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/8/2020,None within 50 metres,3
65585,154,Fine without high winds,Daylight: Street light present,Dry,30,4/8/2020,None within 50 metres,3
8346,155,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/8/2020,None within 50 metres,3
79678,156,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
112483,157,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
31698,158,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/9/2020,None within 50 metres,3
74030,159,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/9/2020,None within 50 metres,3
124931,160,Fine without high winds,Darkness: Street lights present and lit,Wet/Damp,30,4/9/2020,None within 50 metres,3
73924,161,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
76073,162,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
104623,163,Fine without high winds,Daylight: Street light present,Wet/Damp,30,4/9/2020,None within 50 metres,3
58523,164,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
121929,165,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
30704,166,Fine without high winds,Daylight: Street light present,Dry,30,4/9/2020,None within 50 metres,3
58896,167,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
26920,168,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
13884,169,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
87681,170,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
81719,171,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/10/2020,None within 50 metres,2
85554,172,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
12645,173,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/10/2020,None within 50 metres,3
101275,174,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
95982,175,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,2
74610,176,Fine without high winds,Daylight: Street light present,Dry,40,4/10/2020,None within 50 metres,3
76449,177,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/10/2020,None within 50 metres,3
14030,178,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/10/2020,None within 50 metres,3
69692,179,Fine without high winds,Daylight: Street light present,Dry,30,4/10/2020,None within 50 metres,3
47648,180,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
52168,181,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
60251,182,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
35881,183,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
28852,184,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
55341,185,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
84553,186,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
100249,187,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
2463,188,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
22924,189,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
25542,190,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
115972,191,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
